"zpid","price","address","bedrooms","bathrooms","sqft","price_per_sqft","property_type","status","latitude","longitude","state","region","hoa","mls_number","parking_garage","description","days_on_market","year_built","acreage","front_photo","image_path","link","scraped_at"
"444536989","$79,000","330 Greenbriar St, Starkville, MS 39759",NA,NA,NA,NA,NA,"For Sale",33.431313,-88.80518,"MS","Starkville",NA,"25-2246","Carport","Seize the opportunity of building your dream home on Lot 330 in The Summit at Greenbriar. Adjacent to lot 331, this ideally located building lot is perfect for creating your future residence! The Summit at Greenbriar features an inviting entrance highlighted by mature landscaping with beautifully maintained homes that enhance the overall visual appeal of the community. This parcel of land represents a distinctive opportunity for prospective homeowners and developers alike. Please note that there",NA,NA,"0.55","","property_images/444536989_img1.jpg","https://www.zillow.com/homedetails/330-Greenbriar-St-Starkville-MS-39759/444536989_zpid/",2025-11-21 11:10:18.103964
"2067903672","$70,000","173 Acadia St, Starkville, MS 39759",NA,NA,NA,NA,NA,"For Sale",33.459927,-88.82523,"MS","Starkville",NA,"21-2139","Carport","Acadiana Park is the premier new subdivision off S. Montgomery adjacent to the Starkville Country Club. Now is the time to pick the lot that meets your needs from garden homes on up!",NA,NA,"0.29","","property_images/2067903672_img1.jpg","https://www.zillow.com/homedetails/173-Acadia-St-Starkville-MS-39759/2067903672_zpid/",2025-11-21 11:10:18.103964
"2066006936","$2,600,000","5.0 Acres Hwy #12, Starkville, MS 39759",NA,NA,NA,NA,NA,"For Sale",33.48145,-88.79382,"MS","Starkville",NA,"20-783","Carport","Starkville, MS - Hwy 12 East. Instant high impact 5.0 acre tract featuring 386.6 FT of Hwy 12 East road frontage. This premier property features direct access four-way traffic signaled frontage for excellent Ingres/egress and is located directly across from new Wal-Mart Neighborhood Grocery. This ideally located commercial location is situated just off Hwy 82 & Hwy 12 exchange and is located less than 2 miles from Mississippi State University. Owner will consider splitting property into smaller ",NA,NA,"5","","property_images/2066006936_img1.jpg","https://www.zillow.com/homedetails/5-0-Acres-Hwy-12-Starkville-MS-39759/2066006936_zpid/",2025-11-21 11:10:18.103964
"442791112","$599,900","0 State Highway 182, Starkville, MS 39759",NA,NA,NA,NA,NA,"For Sale",33.466244,-88.81577,"MS","Starkville",NA,"24-2393","Carport","Prime corner lot with 1.58 ac+/- zoned T-5C on Highway 182. Excellent frontage and visibility. Only 1.5 miles ± from Mississippi State University, and the NEW Starkville High School site, steps from downtown Starkville, and in close proximity to the Cotton District and the Hospital! Truly centrally located to everything. Located in the heart of the $40million Highway 182 Revitalization Project that is underway, which will transform this corridor. The project includes roadway expansion, utility u",NA,NA,"1.58","","property_images/442791112_img1.jpg","https://www.zillow.com/homedetails/0-State-Highway-182-Starkville-MS-39759/442791112_zpid/",2025-11-21 11:10:18.103964
"2067904419","$70,000","121 Acadia St, Starkville, MS 39759",NA,NA,NA,NA,NA,"For Sale",33.459927,-88.82523,"MS","Starkville",NA,"21-2133","Carport","Acadiana Park is the premier new subdivision off S. Montgomery adjacent to the Starkville Country Club. Now is the time to pick the lot that meets your needs from garden homes on up!",NA,NA,"0.29","","property_images/2067904419_img1.jpg","https://www.zillow.com/homedetails/121-Acadia-St-Starkville-MS-39759/2067904419_zpid/",2025-11-21 11:10:18.103964
"447296039","$295,000","Us Highway 82 #2, Starkville, MS 39759",NA,NA,NA,NA,NA,"For Sale",33.494553,-88.904045,"MS","Starkville",NA,"25-267","Carport","Tract 2: Outside of the city limits of Starkville on US Highway 82 bypass, this beautiful 5.26-acre ± cleared site could accommodate so many different uses. Located approx. 2.5 miles West of Starkville and less than 10 miles to Mississippi State University. Excellent exposure on the Hwy with extensive road frontage and good access from a crossover point. Extremely convenient to all of Starkville, Oktibbeha County, and the surrounding area with the bypass location. More acreage available. Utiliti",NA,NA,"5.26","","property_images/447296039_img1.jpg","https://www.zillow.com/homedetails/Us-Highway-82-2-Starkville-MS-39759/447296039_zpid/",2025-11-21 11:10:18.103964
"2067904273","$70,000","137 Acadia St, Starkville, MS 39759",NA,NA,NA,NA,NA,"For Sale",33.459927,-88.82523,"MS","Starkville",NA,"21-2135","Carport","Acadiana Park is the premier new subdivision off S. Montgomery adjacent to the Starkville Country Club. Now is the time to pick the lot that meets your needs from garden homes on up!",NA,NA,"0.29","","property_images/2067904273_img1.jpg","https://www.zillow.com/homedetails/137-Acadia-St-Starkville-MS-39759/2067904273_zpid/",2025-11-21 11:10:18.103964
"447292660","$295,000","Us Highway 82 #1, Starkville, MS 39759",NA,NA,NA,NA,NA,"For Sale",33.494446,-88.90603,"MS","Starkville",NA,"25-265","Carport","Tract 1: Outside of the city limits of Starkville on US Highway 82 bypass, this beautiful 5.26-acre ± cleared site could accommodate so many different uses. Located approx. 2.5 miles West of Starkville and less than 10 miles to Mississippi State University. Excellent exposure on the Hwy with extensive road frontage and good access from a crossover point. Extremely convenient to all of Starkville, Oktibbeha County, and the surrounding area with the bypass location. More acreage available. Utiliti",NA,NA,"5.26","","property_images/447292660_img1.jpg","https://www.zillow.com/homedetails/Us-Highway-82-1-Starkville-MS-39759/447292660_zpid/",2025-11-21 11:10:18.103964
"2057314507","$74,900","Autumn Dr LOT 98, Starkville, MS 39759",NA,NA,NA,NA,NA,"For Sale",33.43552,-88.87414,"MS","Starkville",NA,"23-995","Carport","Build in Huntington Park one of the most distinctive neighborhoods in Starkville! A lot of attention to the finer details went into the design of this community. Neighborhood features include: beautiful landscaping, walking track, picnic areas, pond, and neighborhood events! HOA fees apply",NA,NA,"0.44","","property_images/2057314507_img1.jpg","https://www.zillow.com/homedetails/Autumn-Dr-LOT-98-Starkville-MS-39759/2057314507_zpid/",2025-11-21 11:12:18.612347
"456226641","$500,000","Lewis Ln, Starkville, MS 39759",NA,NA,NA,NA,NA,"For Sale",33.494114,-88.84268,"MS","Starkville",NA,"25-1745","Carport","35+/- acres located in the city limits of Starkville, this place has a little bit of something for everyone. Being in the southeast corner of the US 82 and HWY 25 intersection makes a short drive to everything Starkville & MSU has to offer. Easy access down paved Lewis Lane that dead ends into gravel leading you onto the internal road system. The lake is approximately 11 acres and is stocked with bass and bream. Over the years there have been numerous deer harvested on and around this tract. The",NA,NA,"35","","property_images/456226641_img1.jpg","https://www.zillow.com/homedetails/Lewis-Ln-Starkville-MS-39759/456226641_zpid/",2025-11-21 11:12:18.612347
"454195865","$449,000","8920 Oktoc Rd, Starkville, MS 39759",NA,NA,NA,NA,NA,"For Sale",33.42528,-88.776184,"MS","Starkville",NA,"25-1340","Carport","This 2 acre lot on Oktoc Rd. and Artesia Rd. is the perfect place for the business of your choice. With Mississippi State University only 2 miles away and it's close proximity to several large manufacturing plants, the location of this property can't be beat. This is currently an area of high daily traffic flow which will only increase upon completion of the new Aluminum Dynamics plant. If that is not enough, this corner has been approved for a 4 way intersection that connects Artesia Rd. to Hai",NA,NA,"2","","property_images/454195865_img1.jpg","https://www.zillow.com/homedetails/8920-Oktoc-Rd-Starkville-MS-39759/454195865_zpid/",2025-11-21 11:12:18.612347
"2054468863","$480,000","State Highway 182, Columbus, MS 39701",NA,NA,NA,NA,NA,"For Sale",33.458374,-88.86531,"MS","Columbus",NA,"23-2098","Carport","Incredible development opportunity in Oktibbeha County, MS! This 50.286 +/- surveyed acre property is located just outside the City Limits of Starkville, MS, and is conveniently located a short five-mile drive from Mississippi State University. This property has excellent potential to be the latest development in West Oktibbeha County. The City of Starkville City Limits serves as the property's eastern boundary. Two city sewer lines traverse the property. The property is accessed by a City of St",NA,NA,"50.29","","property_images/2054468863_img1.jpg","https://www.zillow.com/homedetails/State-Highway-182-Columbus-MS-39701/2054468863_zpid/",2025-11-21 11:12:18.612347
"2083934063","$85,000","320 Greenbriar St, Starkville, MS 39759",NA,NA,NA,NA,NA,"For Sale",33.431313,-88.80526,"MS","Starkville",NA,"21-353","Carport","Starkville, MS - The Summit at Greenbriar. Lot 320 Greenbriar Street. Location, location, location best describes the premier building lot located @ The Summit at Greenbriar. This Development is approximately 5 - 7 minutes from Mississippi State University and the home of the Mississippi State Bulldogs. Features include - incredible entrance that boasts both the elegance and quality of the development. Additional features include mature landscaping, large trees, wonderful cul-de-sacs, and outsta",NA,NA,"0.58","","property_images/2083934063_img1.jpg","https://www.zillow.com/homedetails/320-Greenbriar-St-Starkville-MS-39759/2083934063_zpid/",2025-11-21 11:12:18.612347
