"zpid","price","address","bedrooms","bathrooms","sqft","price_per_sqft","property_type","status","latitude","longitude","state","region","hoa","mls_number","parking_garage","description","days_on_market","year_built","acreage","front_photo","image_path","link","scraped_at"
"452029174","$1,249,995","745A Cottage Ln, Oxford, MS 38655","3","4","2,769",451.42,"Single Family","For Sale",34.332043,-89.50179,"MS","Oxford",NA,"160681","2","Edgewater at the Country Club of Oxford redefines townhome living with a stunning collection of luxury lakefront residences nestled along a private shoreline. The heart of the home features a chef's kitchen with custom cabinetry, quartzite countertops, Thermador appliances, and an entertainer's dream wet bar with beverage center and ice maker. Outdoors, enjoy a cozy patio with fireplace and uninterrupted views of the lake. Access club amenities through fast tracked membership for Edgewater resid",NA,"2025",NA,"","property_images/452029174_img1.jpg","https://www.zillow.com/homedetails/745A-Cottage-Ln-Oxford-MS-38655/452029174_zpid/",2025-11-21 08:31:38.071338
"413142215","$109,900","0 Highlands Cir, Oxford, MS 38655",NA,NA,NA,NA,NA,"For Sale",34.338017,-89.441505,"MS","Oxford",NA,"159606","Carport","LOCATED IN THE EXCLUSIVE AND PRIVATE HIGHLANDS SUBDIVISION, THIS BEAUTIFUL 0.89 ACRE WOODED LOT OFFERS AN EXCEPTIONAL OPPORTUNITY TO BUILD YOUR DREAM HOME IN A NATURE-FILLED ENVIRONMENT. Situated in Lafayette County, MS, the Highlands provides residents with the conveniences of Oxford with Kroger being less than five minutes away and the intersection of Hwy 6 and University Avenue being only three miles away. The peaceful community is known for its 80 acre private fishing lake which is available",NA,NA,"0.89","","property_images/413142215_img1.jpg","https://www.zillow.com/homedetails/0-Highlands-Cir-Oxford-MS-38655/413142215_zpid/",2025-11-21 08:34:18.578798
"347127241","$184,800","0 County Road 428, Paris, MS 38949",NA,NA,NA,NA,NA,"For Sale",34.180443,-89.39806,"MS","Paris",NA,"157782","Carport","Welcome to the Lafayette 48 located on CR 428 right outside of Paris, MS. This Lafayette County property is a nice quiet place, perfect for a future homestead. About two thirds of the property is wooded with mostly pines and a few stands of mature hardwoods. The terrain in the wooded section is made up of steep ridges and draws which lead to the top of a large hill. The north end of the tract offers paved road frontage while the remainder is bordered by private property. A large beanfield is loc",NA,NA,"48","","property_images/347127241_img1.jpg","https://www.zillow.com/homedetails/0-County-Road-428-Paris-MS-38949/347127241_zpid/",2025-11-21 08:34:18.578798
"413149508","$1,320,000","0 Highway 328, Oxford, MS 38655",NA,NA,NA,NA,NA,"For Sale",34.265614,-89.56732,"MS","Oxford",NA,"160122","Carport","The land is only a few miles to Plein-Air. The land is only a few miles from Plein Air. Be sure to check out the photos; they truly capture the beauty. Parcels 178-34-002.00 & 178-33-007.00. The two parcels are to be surveyed. Approximately 120 acres are located on each side of 328. This can be purchased together or separately. 19 acres are also available just down the road at the intersection of Hwy 328/Cotton Road (Grinders Switch): Copy and paste in search bar. https://next.navicamls.net/362/",NA,NA,"120","","property_images/413149508_img1.jpg","https://www.zillow.com/homedetails/0-Highway-328-Oxford-MS-38655/413149508_zpid/",2025-11-21 08:34:18.578798
"457173455","$1,600,000","2622 Jackson Ave W, Oxford, MS 38655",NA,NA,NA,NA,NA,"For Sale",34.36124,-89.56926,"MS","Oxford",NA,"161806","Carport","What a chance to own a 1.412 acre lot on West Jackson Ave. directly behind Connie's Chicken. This lot has 40' of road frontage and visibility from 25,000 cars daily on Hwy. 6 West. This lot is accessed by a shared drive with Connie's Chicken and another easement allows access from the adjoining shopping center for two different access points. Zoned (SCN) Suburban Center District which allows for a 4-story building and many other commercial opportunities. One of the few lots left on West Jackson ",NA,NA,"1.41","","property_images/457173455_img1.jpg","https://www.zillow.com/homedetails/2622-Jackson-Ave-W-Oxford-MS-38655/457173455_zpid/",2025-11-21 08:34:18.578798
"223975328","$589,000","211 Williams Ave, Oxford, MS 38655",NA,NA,"10,019",58.79,NA,"For Sale",34.374172,-89.51155,"MS","Oxford",NA,"161480","Carport","Don't miss this exceptional opportunity to own a prime lot just a short walk away from the Oxford Square! Situated on Williams Street, this build-ready parcel offers the perfect location for your next project. The lot backs up to the peaceful Savannah Square and is steps away to Avent Park. Plus, it's just a short walk to Chicory Market and perfectly situated near Midtown Oxford, providing you with everything you need right at your doorstep.",NA,NA,NA,"","property_images/223975328_img1.jpg","https://www.zillow.com/homedetails/211-Williams-Ave-Oxford-MS-38655/223975328_zpid/",2025-11-21 08:34:18.578798
"306954109","$562,940","861 Highway 331, Banner, MS 38913",NA,NA,NA,NA,NA,"For Sale",34.165154,-89.337364,"MS","Banner",NA,"4097959","Carport","Welcome to the Lafayette County Potlockney 160! Located along Highway 331, just 20 miles southeast of Oxford, MS, this incredible 160-acre property offers a perfect blend of natural beauty, timber investment, and recreational opportunities. Carefully managed for timber production, this diverse property features: 54.1 acres of 2-year-old planted pine, poised for long-term growth. 47.1 acres of 17-year-old pine plantation, showcasing maturity and immediate timber value. 18 acres of cutover, provid",NA,NA,"160.84","","property_images/306954109_img1.jpg","https://www.zillow.com/homedetails/861-Highway-331-Banner-MS-38913/306954109_zpid/",2025-11-21 08:34:18.578798
"452126762","$929,000","309/311 Washington Ave, Oxford, MS 38655",NA,NA,NA,NA,"Single Family","For Sale",34.371746,-89.52554,"MS","Oxford",NA,"160716","Carport","How many chances to purchase a .48 of an acre lot this close to the Oxford Square and within easy walking distance to the grove on the Ole Miss campus. Located across from Sorority Row, there isn't a location of any lot this close to the campus. This lot is relatively flat and has mature trees to provide plenty of cover. Located on a street that has low traffic. Buy this lot and the one next to it and build your forever home so close to Ole Miss and the Oxford Square. Zoned for single family hom",NA,NA,"0.48","","property_images/452126762_img1.jpg","https://www.zillow.com/homedetails/309-311-Washington-Ave-Oxford-MS-38655/452126762_zpid/",2025-11-21 08:34:18.578798
"223984024","$175,000","105 Commerce Dr, Oxford, MS 38655",NA,NA,NA,NA,NA,"For Sale",34.306164,-89.518906,"MS","Oxford",NA,"159766","Carport","This commercial lot at 105 Commerce Drive is located in one of Oxford's most sought-after areas, positioned behind the Chevron and Dollar General. Offering a high-visibility location with steady traffic, this property is ideal for retail, office, or service-based development. This property offers exceptional potential in a high-demand area of Oxford, with nearby businesses ensuring a built-in customer base. Whether you're starting a new venture or expanding your footprint, this location is a sma",NA,NA,"0.56","","property_images/223984024_img1.jpg","https://www.zillow.com/homedetails/105-Commerce-Dr-Oxford-MS-38655/223984024_zpid/",2025-11-21 08:34:18.578798
"223970967","$899,000","631 County Road 102, Oxford, MS 38655",NA,NA,NA,NA,NA,"For Sale",34.457302,-89.61597,"MS","Oxford",NA,"160195","Carport","What an unbelievable chance to own some of the finest deer and turkey hunting land close to Coontown Landing in Lafayette County. This 71-acre tract located close to the landing joins Corp of Engineers land that runs into Sardis Lake giving you so many other options to hunt. Located 15 minutes from the Oxford Square this land has a perfect mix of hardwood and pines. Perfect spot to build a cabin or just to keep as recreational land. Perfect mix of hardwood and pine for some of the best turkey hu",NA,NA,"71.9","","property_images/223970967_img1.jpg","https://www.zillow.com/homedetails/631-County-Road-102-Oxford-MS-38655/223970967_zpid/",2025-11-21 08:34:18.578798
